Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Девдюк,Валентин,Григорович,Чоловік,1986-10-15,Музикознавець,хутір П'ятихатки,"площа Нафтовиків 2-й, буд. 11, Вишневе, 52176",014 232-42-17,lytvynmarta@example.org
Туркало,Борис,Андрійович,Чоловік,1958-12-02,Підприємець,селище Баранівка,"проспект Військовий узвіз, буд. 1 кв. 97, Сколе, 10202",+380 (63) 210-27-91,earsenych@example.com
Притула,Болеслав,Олексійович,Чоловік,1968-03-14,Маркетолог,місто Донецьк,"проспект Різдвяна, буд. 2, Ржищів, 84716",780-63-21,baranetsruslan@example.org
Жадан,Мартин,Володимирович,Чоловік,1943-11-02,Реставратор,хутір Березань,"вулиця Лугова, буд. 79 кв. 591, Борзна, 75673",033 714-72-22,zakhar15@example.org
Гузь,Віталій,Павлович,Чоловік,1971-07-06,Інженер,селище Полтава,"набережна Політкаторжан, буд. 81, Фастів, 03554",925-92-70,tokarnestor@example.org
Хомик,Азар,Павлович,Чоловік,2000-05-09,Антрополог,село Снятин,"парк Горбиста, буд. 16, Зоринськ, 13360",736-63-57,jrebryk@example.org
Скопенко,Устим,Вікторович,Чоловік,2002-09-18,Актор,селище Щастя,"проспект Лірний, буд. 263 кв. 0, Вільнянськ, 33085",014 661-03-20,kanivetshennadii@example.org
Фесенко,Богодар,Андрійович,Чоловік,1958-05-23,Актор,хутір Монастириська,"провулок Карантинний узвіз, буд. 22 кв. 4, Благовіщенське, 85021",+380 41 641-28-44,feofandanchenko@example.com
Дзюба,Борис,Михайлович,Чоловік,1948-01-07,Соціолог,місто Рава-Руська,"провулок Рівності, буд. 576, Зборів, 82454",+380 (28) 184-65-97,bohodar39@example.org
Кабалюк,Онисим,Степанович,Чоловік,1965-04-28,Громадський діяч,селище Любомль,"проспект Амундсена, 3-й, буд. 382 кв. 230, Сокаль, 77888",087 423 64 54,oeibozhenko@example.com
Батюк,Вʼячеслав,Романович,Чоловік,1996-03-30,Піаніст,хутір Єнакієве,"провулок Михайлівська, буд. 72 кв. 3, Олешки, 72703",+380 35 503 43 93,havryshkevychvalentyna@example.org
Гоголь,Хома,Сергійович,Чоловік,1974-06-14,Редактор,село Жданівка,"шосе Матеріальний 1-й, буд. 0 кв. 197, Новояворівськ, 55301",+380 (60) 163-24-68,trokhymshyian@example.org
Сіробаба,Миколай,Богданович,Чоловік,1948-08-02,Стоматолог,місто Щолкіне,"вулиця Ганни Ахматової, буд. 67, Великі Мости, 53716",+380 54 830-31-99,teibozhenko@example.org
Джунь,Франц,Романович,Чоловік,2007-09-04,Доцент,селище Соснівка,"парк Рівності, буд. 6, Дніпро, 58488",055 387 55 46,panteleimonnesterenko@example.net
Рудик,Максим,Федорович,Чоловік,1945-12-21,Вчитель,хутір Решетилівка,"узвіз Чорноморський 9-й, буд. 016, Шептицький, 21031",264 23 66,bdanylchuk@example.org
Вітрук,Климент,Вікторович,Чоловік,1999-09-24,Кіноактор,місто Тисмениця,"площа Ференца Ліста, буд. 6, Мелітополь, 70758",090 942-67-62,maksym39@example.com
Тичина,Леонтій,Вікторович,Чоловік,1948-09-17,Продюсер,місто Миколаївка,"набережна Штильова, буд. 645 кв. 9, Бібрка, 27762",063 625 73 59,atamanchuksviatoslav@example.com
Бгиденко,Прохір,Григорович,Чоловік,1965-12-01,Режисер,місто Верхівцеве,"провулок Лінія 38-ма, буд. 0, Сіверськодонецьк, 86965",372 62 28,iaremashyian@example.com
Шаблій,Данило,Романович,Чоловік,1985-04-08,Астрофізик,село Баранівка,"парк Локомотивний 3-й, буд. 797, Кременчук, 52899",007 646-18-84,zynovii84@example.org
Охріменко,Нестор,Дмитрович,Чоловік,1965-05-18,Електрослюсар,селище Тисмениця,"шосе Михайла Божія, буд. 42, Іршава, 62611",039 199-27-90,maksym96@example.net
Терещенко,Валерій,Макарович,Чоловік,1947-09-04,Професор,селище Буча,"узвіз Педагогічний, буд. 832 кв. 5, Умань, 97906",+380 71 792-85-09,qrubets@example.net
Бандура,Богуслав,Макарович,Чоловік,1971-06-13,Дизайнер,хутір Авдіївка,"узвіз Спортивна, буд. 662, Ківерці, 68956",+380 76 576-49-58,hrytsenkostefan@example.com
Гайворонський,Аврелій,Вікторович,Чоловік,1962-08-13,Музикознавець,місто Устилуг,"парк Персикова, буд. 62, Новгород-Сіверський, 07416",+380 (97) 974-84-50,eshcherbak@example.net
Андрійович,Станіслав,Степанович,Чоловік,2000-06-18,Диригент,хутір Зеленодольськ,"шосе Пересипський 2-й, буд. 9, Ясинувата, 66462",+380 44 237 02 82,levko45@example.com
Гайворонський,Азар,Вікторович,Чоловік,2000-01-18,Кухар,селище Кремінна,"проспект Почаївська, буд. 381 кв. 49, Березань, 65119",962 93 41,petro80@example.com
Затула,Марко,Павлович,Чоловік,1966-05-12,Фотограф,хутір Турка,"узвіз Аеропортівський 5-й, буд. 423 кв. 5, Костопіль, 12484",+380 35 454-93-84,danylohavryshkevych@example.net
Теліженко,Лукʼян,Романович,Чоловік,1954-08-25,Ді-джей,місто Зеленодольськ,"сквер Гоголя, буд. 20, Мукачево, 88782",+380 (03) 028-23-10,emiliiakovpak@example.org
Базавлученко,Максим,Іванович,Чоловік,1958-07-19,Випробувач,село Залізне,"узвіз Михайла Грушевського, буд. 914 кв. 524, Новоград-Волинський, 73907",059 814 12 58,symon21@example.net
Алексеєнко,Онисим,Олександрович,Чоловік,1988-11-24,Фольклорист,село Барвінкове,"шосе Стеценко, буд. 0 кв. 2, Гірник, 74169",302 38 94,vizhakevych@example.com
Ейбоженко,Устим,Васильович,Чоловік,1950-07-07,Водій,хутір Городенка,"сквер 19-й км Старокиївської дороги, буд. 82, Новоукраїнка, 95917",+380 28 515-28-14,oleksandrgereta@example.net
Гресь,Мартин,Дмитрович,Чоловік,1948-12-31,Антрополог,хутір Славутич,"площа Азербайджан, буд. 048 кв. 6, Новомиргород, 91399",853 93 57,fskyrda@example.net
Жаліло,Кирило,Макарович,Чоловік,1959-08-01,М'ясник,хутір Мостиська,"сквер Новоселів, буд. 144 кв. 82, Лутугине, 36625",257-67-81,arkadii37@example.org
Міщенко,Руслан,Федорович,Чоловік,1980-07-03,Мікробіолог,місто Сарни,"провулок Пересипська 7-ма, буд. 6 кв. 332, Надвірна, 64950",+380 58 302-16-22,ubabych@example.com
Балабан,Сергій,Васильович,Чоловік,1977-01-13,Ботанік,місто Бердичів,"узвіз Лінія 38-ма, буд. 3 кв. 23, Новогродівка, 96296",+380 70 612 42 54,anita16@example.net
Тягнибок,Гордій,Григорович,Чоловік,1980-12-22,Дизайнер,село Нетішин,"сквер Садиковська, буд. 486, Подільськ, 19491",+380 52 473-57-16,hlaba@example.org
Козаченко,Єлисей,Олегович,Чоловік,1943-12-19,Письменник,хутір Люботин,"парк Наявний 1-й, буд. 8 кв. 29, Березівка, 42049",094 656 01 03,iaremkivmykolai@example.org
Ґжицький,Іван,Олександрович,Чоловік,2006-01-25,Кінокритик,хутір Кам'янець-Подільський,"шосе Аркадійська, буд. 737, Сколе, 88505",627-56-88,dupliiheorhii@example.org
Сацюк,Артем,Вікторович,Чоловік,1957-11-12,Машиніст,хутір Великі Мости,"вулиця Героїв УПА, буд. 745 кв. 186, Приморськ, 19944",+380 (15) 312-46-17,vadymovcharenko@example.org
Їжакевич,Святослав,Макарович,Чоловік,1974-07-04,Художник,місто Узин,"сквер Аеропортівський 6-й, буд. 560 кв. 4, Алмазна, 08268",035 834 62 43,wbabak@example.org
Батюк,Веніямин,Володимирович,Чоловік,1981-04-09,Науковець,місто Бучач,"провулок Авангардна, буд. 416 кв. 11, Гола Пристань, 51635",+380 (49) 345-47-08,amaliiaaverchenko@example.com
Аронець,Володимир,Михайлович,Чоловік,1987-08-07,Модельєр,село Кривий Ріг,"парк Вершинна, буд. 896 кв. 987, Заліщики, 18141",+380 61 313-16-65,klavdiia22@example.net
Пелех,Георгій,Федорович,Чоловік,2000-06-17,Музичний редактор,місто Бершадь,"вулиця Щоглова, буд. 92 кв. 6, Прип'ять, 26025",+380 (09) 119-09-87,mykolai38@example.net
Козак,Болеслав,Андрійович,Чоловік,1949-03-11,Парфюмер,хутір Лутугине,"шосе Фруктова, буд. 049 кв. 5, Макіївка, 52738",+380 94 779 16 99,riakovenko@example.net
Саченко,Леопольд,Павлович,Чоловік,1993-05-05,Круп'є,селище Дубляни,"площа Стороженка Олега, буд. 7 кв. 319, Новомиргород, 84977",060 125-14-56,atroshchenkoorysia@example.net
Дубина,Болеслав,Макарович,Чоловік,1958-11-19,Літературознавець,селище Чортків,"вулиця Кришталева, буд. 737, Олешки, 78163",200-17-20,qstus@example.org
Лагода,Руслан,Степанович,Чоловік,1970-12-11,Ботанік,хутір Долина,"сквер Садова 1-ша, буд. 60, Златопіль, 98130",038 718-74-47,solomon54@example.net
Ґерета,Леонід,Макарович,Чоловік,1982-03-01,Стропальник,хутір Перещепине,"площа Авангардна, буд. 83 кв. 836, Красногорівка, 49820",944 75 55,cchekaliuk@example.org
Христенко,Кирило,Вікторович,Чоловік,1976-07-18,Гірничий інженер,село Снігурівка,"проспект Канатний, буд. 291 кв. 21, Чорнобиль, 18227",956-72-24,milena46@example.org
Литвиненко,Максим,Олегович,Чоловік,1940-11-13,Співак,селище Звенигородка,"площа Матюшенка, буд. 70, Калуш, 02182",+380 20 163 18 93,shtokaloavhustyn@example.com
Конопленко,Юстим,Михайлович,Чоловік,1975-02-21,Педагог,місто Моспине,"провулок Кастуся Калиновського, буд. 5, Рені, 47891",+380 30 622-70-82,omeliankozachenko@example.com
Литвин,Ілля,Володимирович,Чоловік,1989-10-16,Каскадер,село Борщів,"набережна Травневий, буд. 55, Виноградів, 01257",+380 (17) 680-64-13,tychynaalina@example.net
Шиян,Пармен,Петрович,Чоловік,1996-10-13,Ветеринар,село Прип'ять,"сквер Церковна, буд. 37 кв. 708, Герца, 32580",695-67-72,rarkhypenko@example.org
Данчук,Артем,Володимирович,Чоловік,1967-04-19,Публіцист,селище Мостиська,"проспект Садова 6-та, буд. 0 кв. 7, Чистякове, 14532",+380 87 349-27-28,haidaihennadii@example.com
Мірошниченко,Дан,Богданович,Чоловік,2005-09-07,Патологоанатом,місто Городище,"провулок Івана Франка, буд. 415, Глухів, 84666",609 51 96,oleksandrkovaliuk@example.net
Сацюк,Олекса,Юрійович,Чоловік,1999-05-16,Кінокритик,село Дунаївці,"шосе Військовий узвіз, буд. 978, Пустомити, 95071",041 480-18-30,lizakhomyk@example.net
Ґжицький,Тимофій,Дмитрович,Чоловік,1962-03-31,Драматург,місто Новоград-Волинський,"узвіз Ольвійська, буд. 008 кв. 85, Жашків, 54318",+380 (01) 185-21-86,teodorshylo@example.com
Карпенко,Мирослав,Андрійович,Чоловік,1989-12-03,Каскадер,хутір Київ,"парк 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 4, Чистякове, 31322",095 948-89-15,nataliiahaidamaka@example.com
Таран,Леопольд,Петрович,Чоловік,1939-06-16,Громадський діяч,місто Білозерське,"парк Михайлівська, буд. 45 кв. 2, Трускавець, 89827",077 355 31 78,amvrosii89@example.com
Тимченко,Валентин,Федорович,Чоловік,1987-09-15,Ріелтор,хутір Кропивницький,"проспект Опішнянський, буд. 61 кв. 98, Жашків, 30336",067 687 35 98,shakhraimarusia@example.org
Вернидуб,Костянтин,Олексійович,Чоловік,1997-07-18,Графік,селище Тетіїв,"парк Республіканська, буд. 6, Іршава, 53536",+380 (89) 223-46-23,msatsiuk@example.com
Бевз,Леопольд,Володимирович,Чоловік,1988-01-31,Електромонтажник,селище Баштанка,"узвіз Академічна, буд. 903, Рожище, 62488",679-02-13,promanenko@example.org
Пилипенко,Святослав,Михайлович,Чоловік,1940-06-21,Няня,село Нововолинськ,"сквер Каберне, буд. 914 кв. 6, Звенигородка, 98015",022 364-61-87,alysenko@example.com
Андріїшин,Костянтин,Григорович,Чоловік,1990-12-02,Слідчий,хутір Підгородне,"площа Архітекторська, буд. 31 кв. 94, Підгородне, 89812",+380 78 232-54-18,baklanhanna@example.org
Рубан,Дан,Андрійович,Чоловік,1951-04-03,Живописець,хутір Нова Каховка,"парк Тіниста, буд. 7 кв. 455, Погребище, 92509",057 868 63 61,lzhurba@example.net
Малик,Алевтин,Андрійович,Чоловік,1984-06-10,Детектив,село Подільськ,"площа Сінна, буд. 9 кв. 76, Шумськ, 87376",+380 45 780 38 33,bandurkahalyna@example.net
Копитко,Андрій,Федорович,Чоловік,1939-11-29,Етнограф,хутір Сокаль,"вулиця Літакова, буд. 127, Володимир-Волинський, 37755",+380 (10) 368-45-24,idarahan@example.com
Гаврилишин,Августин,Васильович,Чоловік,1962-12-19,Євнух,місто Авдіївка,"узвіз Військовий узвіз, буд. 8, Берислав, 20263",611-70-67,iefremhavryliuk@example.net
Дубас,Борислав,Григорович,Чоловік,1963-12-04,Детектив,хутір Теплодар,"шосе Азербайджан, буд. 92, Куп'янськ, 71777",849 84 45,boryslav51@example.org
Дейнеко,Павло,Юрійович,Чоловік,1979-04-19,Детектив,хутір Заводське,"парк Учнівська, буд. 0 кв. 2, Генічеськ, 49615",438 48 19,oles88@example.com
Цісик,Амвросій,Павлович,Чоловік,1969-01-19,Кінолог,хутір Радомишль,"площа Кодимський, буд. 685, Скалат, 43565",030-14-83,ostapchuksolomon@example.org
Гайдай,Семен,Андрійович,Чоловік,1994-08-09,Різноробочий,селище Березне,"парк Бузкова, буд. 50 кв. 82, Рені, 85995",+380 (44) 078-10-67,dumanets@example.com
Дахно,Едуард,Степанович,Чоловік,1955-09-10,Різноробочий,місто Кагарлик,"проспект Гобеленова, буд. 98, Керч, 17342",+380 (02) 423-73-21,teslenkodanna@example.com
Савенко,Панас,Володимирович,Чоловік,2003-01-06,Математик,хутір Гайсин,"сквер Обривиста, буд. 4 кв. 700, Одеса, 29490",190 63 23,parmenderhach@example.net
Ющенко,Омелян,Павлович,Чоловік,2007-06-30,Юрист,місто Люботин,"узвіз Юннатів 3-й, буд. 32 кв. 6, Жмеринка, 91075",+380 (42) 666-59-83,ashvachka@example.org
Атаманюк,Остап,Григорович,Чоловік,1976-05-16,Кур'єр,місто Сторожинець,"шосе Дзвінка, буд. 636 кв. 101, Гайворон, 17958",+380 30 654-75-29,huksymon@example.com
Гриценко,Леопольд,Олександрович,Чоловік,1952-01-18,Літературознавець,село Хмільник,"сквер Прохоровський, буд. 348, Жовква, 25416",+380 (94) 072-40-45,rozaliiachalenko@example.com
Ільченко,Єфрем,Іванович,Чоловік,1956-08-03,Режисер,село Зборів,"набережна Тупиковий 2-й, буд. 8, Ківерці, 35155",+380 (52) 198-84-56,zlatoslavaskorobohatko@example.net
Ватаманюк,Августин,Романович,Чоловік,1983-10-08,Геолог,село Кобеляки,"шосе Танкерна, буд. 8, Мар'їнка, 66757",+380 83 752-43-13,pushkaredyta@example.com
Запорожець,Василь,Олегович,Чоловік,1968-07-13,Реставратор,селище Галич,"проспект Перший Кришталевий, буд. 32 кв. 7, Новоазовськ, 85649",066 188-80-22,volodymyra43@example.net
Засенко,Трохим,Григорович,Чоловік,2006-07-13,Астрофізик,хутір Угнів,"парк Ніни Строкатої, буд. 792, Рені, 36017",+380 93 354-33-83,halyna22@example.net
Данченко,Болеслав,Богданович,Чоловік,1949-09-05,Гінеколог,хутір Ходорів,"проспект Вернидуба, буд. 6 кв. 124, Моспине, 79550",689-48-03,artem73@example.org
Чабан,Руслан,Григорович,Чоловік,2000-10-11,Диригент,село Тернівка,"провулок Подільська, буд. 9, Трускавець, 61906",+380 76 467-86-46,taras42@example.net
Скоробогатько,Азар,Олегович,Чоловік,1943-05-19,Педагог,хутір Бердянськ,"вулиця Ямчитського, буд. 329 кв. 13, Енергодар, 61456",+380 (09) 782-55-52,liliiahunko@example.org
Короленко,Зиновій,Дмитрович,Чоловік,1955-08-27,Фотограф,місто Жмеринка,"шосе Лінія 43-тя, буд. 52, Кременець, 61678",068 719 74 74,zharkoeduard@example.com
Демиденко,Павло,Олексійович,Чоловік,1955-10-17,Програміст,хутір Горішні Плавні,"парк Польська, буд. 59, Корець, 48376",369 23 60,kieroshenko@example.org
Закусило,Дмитро,Володимирович,Чоловік,2008-02-28,Сантехнік,місто Білицьке,"узвіз Тиха, буд. 5 кв. 2, Заводське, 32981",590 69 19,viacheslavhrytsenko@example.com
Баранець,Вʼячеслав,Макарович,Чоловік,2007-11-14,Ювелір,село Прилуки,"сквер Героїв Небесної Сотні, буд. 53 кв. 017, Мерефа, 24566",+380 71 025 82 81,asheremeta@example.org
Оніщук,Пармен,Олексійович,Чоловік,1949-09-23,М'ясник,селище Чугуїв,"шосе Рибальська балка, буд. 0 кв. 033, Златопіль, 60313",+380 78 521-90-93,anzhela51@example.net
Баранник,Іван,Вікторович,Чоловік,1968-05-15,Хореограф,селище Біляївка,"проспект Волинський, буд. 86, Кремінна, 27622",+380 68 867-46-49,nikoliukruslan@example.com
Носенко,Охрім,Богданович,Чоловік,1944-05-22,Композитор,хутір Добромиль,"площа Моторний 2-й, буд. 156, Ізмаїл, 95349",081-39-60,dan73@example.com
Влох,Артем,Олександрович,Чоловік,1948-07-06,Хімік,село Броди,"набережна Крайня, буд. 65, Переяслав, 67759",244-17-52,khomagzhytskyi@example.com
Хорішко,Мартин,Андрійович,Чоловік,1939-01-23,Доцент,селище Гірник,"сквер Пресича Олександра, буд. 9 кв. 2, Луцьк, 01242",+380 (45) 919-28-20,mfesenko@example.net
Батуринець,Захар,Вікторович,Чоловік,1991-05-18,Архітектор,хутір Скадовськ,"проспект Кортацці, буд. 61, Рава-Руська, 42008",141-21-27,maryna13@example.com
Єресько,Опанас,Федорович,Чоловік,1963-04-27,Мовознавець,селище Сторожинець,"набережна Чумацька, буд. 888 кв. 9, Верхівцеве, 56006",084 638-88-55,chabanvalentyna@example.net
Зубко,Валентин,Васильович,Чоловік,1995-02-26,Ювелір,місто Голубівка,"вулиця Головківська, буд. 881 кв. 5, Каховка, 20771",+380 28 040 54 07,havriushenkomykolai@example.com
Батуринець,Антон,Григорович,Чоловік,1960-09-26,Паблік рилейшнз,селище Новоселиця,"проспект Дачний 1-й, буд. 758 кв. 7, Шахтарське, 11513",515 22 70,kkopytko@example.org
Твердохліб,Прохір,Іванович,Чоловік,1939-08-17,Мистецтвознавець,місто Новояворівськ,"парк Митракова, буд. 1, Жовква, 31084",047 967 95 96,shukhevychielysaveta@example.net
Перепелиця,Остап,Федорович,Чоловік,1950-08-29,Журналіст,село Жданівка,"шосе Короткий, буд. 633, Болград, 35838",009 020-69-93,psirchenko@example.com
Башполченко,Микита,Вікторович,Чоловік,1988-09-09,Дипломат,селище Острог,"набережна Серединський, буд. 0, Кобеляки, 75055",004 891-79-62,pylypdeisun@example.net
Піддубний,Леон,Андрійович,Чоловік,1994-03-02,Швачка,село Щастя,"набережна Дерибасівська, буд. 967 кв. 378, Енергодар, 79463",053 211-61-89,prokhiropanasenko@example.com
Худяк,Адам,Сергійович,Чоловік,1969-03-31,Підприємець,селище Свалява,"парк Дніпропетровська дорога, буд. 825 кв. 52, Решетилівка, 46095",+380 (17) 566-58-98,ptkachenko@example.com
Андрусенко,Борис,Юрійович,Чоловік,1971-01-26,Правник,хутір Радивилів,"набережна Флотський 3-й, буд. 2, Нетішин, 39945",505-20-09,aaron63@example.org
Ващук,Аврелій,Олексійович,Чоловік,1961-02-25,Водій,хутір Бар,"провулок Молоді, буд. 044, Стебник, 65694",+380 37 445 31 15,zhurbaoles@example.com
Височан,Устим,Дмитрович,Чоловік,1980-04-14,Прокурор,місто Кам'янка (Черкаська область),"проспект Юннатів 2-й, буд. 9 кв. 081, Снятин, 25616",638-19-12,vasylashkobohdan@example.net
Остапчук,Едуард,Вікторович,Чоловік,1966-02-15,Ботанік,село Алушта,"набережна Онілової, буд. 690, Берестин, 61315",184 74 44,vsirobaba@example.net
Андрієнко,Василь,Олександрович,Чоловік,1943-08-11,Дантист,село Бобринець,"парк Крушельницької, буд. 7, Рахів, 55040",+380 65 803-48-98,avrelii67@example.com
Артюх,Марко,Петрович,Чоловік,1966-02-20,Парфюмер,місто Шостка,"шосе Кар’єрна, буд. 118, Вознесенівка, 42954",+380 39 185-31-00,zarubahryhorii@example.org
Шеремет,Леопольд,Степанович,Чоловік,1953-10-09,Детектив,хутір Чернівці,"вулиця Європейська, буд. 893, Ланівці, 39321",084 180-07-11,iemetshalyna@example.com
Ковпак,Павло,Васильович,Чоловік,1989-10-15,Клавішник,місто Нова Каховка,"вулиця Молокова, буд. 552 кв. 6, Мирноград, 43171",+380 44 661-75-90,iukhym30@example.net
Гайдай,Федір,Петрович,Чоловік,1988-07-30,Електрослюсар,місто Тальне,"провулок Ялинкова, буд. 32 кв. 33, Стрий, 13435",094 588 19 65,liubovpetryk@example.net
Пушкар,Назар,Павлович,Чоловік,1965-01-10,Патологоанатом,хутір Надвірна,"площа Рекордний, буд. 95, Шостка, 90545",251-57-60,iustymcherinko@example.net
Базилевич,Арсен,Федорович,Чоловік,1952-11-05,Піаніст,хутір Нова Одеса,"вулиця Лінія 36-та, буд. 10 кв. 8, Хорол, 34120",804 40 01,avhustyn78@example.com
Давимука,Віктор,Павлович,Чоловік,1982-08-26,Мистецтвознавець,село Бахчисарай,"провулок Пісочна, буд. 57 кв. 976, Бунге, 19114",+380 71 528-15-52,zhuravelzynovii@example.com
Демʼянчук,Віктор,Олександрович,Чоловік,1991-04-27,Краєзнавець,селище Рівне,"шосе Івахненка Петра, буд. 951, Золоте, 14984",017 54 03,nataliia21@example.net
Шамрай,Олесь,Сергійович,Чоловік,2007-01-19,Композитор,село Кодима,"шосе Івана Луценка, буд. 489, Баштанка, 52079",+380 (04) 804-71-38,pavlykbohdanna@example.net
Фурс,Богдан,Іванович,Чоловік,1988-03-15,Диригент,місто Вінниця,"набережна Квітки-Основ’яненка, буд. 2, Дунаївці, 56026",640 92 42,panas42@example.com
Дзюба,Ростислав,Богданович,Чоловік,1947-10-08,Астрофізик,селище Світловодськ,"парк Хортицька, буд. 9, Синельникове, 60010",210-90-67,khrystynashamrai@example.net
Слюсар,Павло,Іванович,Чоловік,1981-07-12,Мірошник,хутір Тульчин,"набережна Деревообробна, буд. 10 кв. 691, Корець, 84995",+380 93 912 44 84,mykolaitokar@example.net
Стус,Григорій,Васильович,Чоловік,1985-06-07,Няня,хутір Рівне,"парк Ігоря Ветрогонова, буд. 4, Олександрівськ, 40840",915 15 54,qkozak@example.org
Товстуха,Панас,Федорович,Чоловік,1963-12-05,Археолог,село Скадовськ,"проспект Горизонтальна, буд. 365, Дубляни, 62510",+380 (11) 675-86-88,bohodar25@example.net
Ярош,Леон,Степанович,Чоловік,1942-08-29,Дерун,хутір Львів,"вулиця Керченський 2-й, буд. 6, Зміїв, 62119",+380 (96) 247-13-83,demianzaika@example.net
Твердохліб,Олег,Павлович,Чоловік,1997-04-03,Пілот,хутір Миронівка,"проспект Бориса Кифоренка, буд. 7 кв. 82, Запоріжжя, 12716",594 17 01,cherinkokamilla@example.com
Корпанюк,Степан,Григорович,Чоловік,1962-10-24,Правник,село Єнакієве,"набережна Просвіти, буд. 3 кв. 465, Вилкове, 61002",+380 65 445-25-00,ustymvatamaniuk@example.com
Верменич,Петро,Григорович,Чоловік,1956-03-10,Кушнір,селище Бердичів,"парк Саймона Літмана, буд. 661 кв. 00, Умань, 54790",+380 89 477 07 59,pylyp42@example.org
Карпа,Захар,Сергійович,Чоловік,2007-05-05,Золотар,село Кременець,"площа Грушева, буд. 51 кв. 841, Горохів, 79227",034 045 87 25,darynasimashkevych@example.net
Бабиченко,Трохим,Олександрович,Чоловік,1986-07-23,Бібліограф,село Вовчанськ,"шосе Вузький, буд. 95, Новоселиця, 46807",+380 29 365 24 05,danyloprokopovych@example.net
Олійник,Вʼячеслав,Вікторович,Чоловік,1962-07-24,Мовознавець,місто Нетішин,"проспект Університетський, буд. 194, Боярка, 42298",+380 20 859 60 49,frants23@example.com
Зінчук,Аврелій,Сергійович,Чоловік,1966-04-01,Фармацевт,село Судак,"парк Педагогічна, буд. 486 кв. 31, Кам'янець-Подільський, 45134",839 71 09,veniiamynlysenko@example.net
Жарко,Василь,Петрович,Чоловік,1952-03-29,Машиніст,селище Добропілля,"набережна Новоберегова, буд. 1, Фастів, 32786",886 06 44,krubets@example.net
Малик,Захар,Андрійович,Чоловік,1986-03-31,Астронавт,хутір Новоселиця,"парк Юннатів 3-й, буд. 02, Нове Давидково, 02086",+380 42 440-28-31,stanislavkhrystenko@example.org
Ірванець,Сергій,Макарович,Чоловік,1956-03-10,Медик,місто Коростишів,"площа Книжковий, буд. 51, Новий Розділ, 81384",077-56-36,ybandurka@example.com
Шинкаренко,Ярослав,Макарович,Чоловік,1953-04-13,Лікар,місто Броди,"узвіз 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 594, Нова Каховка, 80730",003 011-24-51,alevtynkylymnyk@example.com
Кабаненко,Аарон,Павлович,Чоловік,1991-04-29,Епідеміолог,селище Дубровиця,"площа Бреуса Якова, буд. 5 кв. 0, Гірське, 84068",+380 89 313-92-64,khoma31@example.org
Кальченко,Панас,Юрійович,Чоловік,1978-08-10,Головний меркшейдер,село Зборів,"сквер Черешнева, буд. 17, Миргород, 42554",653 69 33,roksolanavlokh@example.net
Теличенко,Симон,Андрійович,Чоловік,2002-07-02,Геофізик,село Харцизьк,"шосе Миколаївська дорога, буд. 4, Обухів, 93038",208 29 61,dmytroshynkarenko@example.com
Нестеренко,Вадим,Макарович,Чоловік,1992-03-19,Агроном,село Умань,"набережна Академіка Богатського, буд. 77, Макіївка, 77536",030 181 24 80,herman04@example.com
Михайличенко,Мирон,Дмитрович,Чоловік,1950-03-22,Літературознавець,хутір Моспине,"узвіз Покровський, буд. 48, Шахтарськ, 69043",+380 45 704 49 34,tarasturkalo@example.com
Заруба,Леонід,Романович,Чоловік,1951-10-15,Прокурор,селище Новояворівськ,"шосе Василя Кандинського 3-й, буд. 4, Мерефа, 38851",982 98 74,tetianaandriichuk@example.net
Ґереґа,Болеслав,Андрійович,Чоловік,1989-12-12,Етнограф,селище Черкаси,"сквер Цесевича, буд. 074 кв. 1, Балаклія, 78952",+380 19 893-83-59,iustym34@example.org
Кальченко,Климент,Степанович,Чоловік,1949-08-02,Шериф,селище Кадіївка,"сквер Михайла Грушевського, буд. 7, Снятин, 85567",028 586-68-77,tatamanchuk@example.org
Шахрай,Варфоломій,Степанович,Чоловік,1951-08-21,Штукатур,місто Новомиргород,"вулиця Відважних, буд. 55, Сокологірськ, 01635",148-60-23,batiukstanislav@example.net
Андрощук,Орхип,Вікторович,Чоловік,1996-06-27,Патологоанатом,село Умань,"провулок Джерельна, буд. 75, Тетіїв, 64930",+380 45 017-38-03,opanasperepelytsia@example.net
Яремчук,Володимир,Дмитрович,Чоловік,1974-12-26,Патологоанатом,село Тульчин,"площа Андрія Музичка, буд. 35 кв. 9, Вільнянськ, 11478",123 06 12,sreva@example.org
Жаліло,Михайло,Іванович,Чоловік,1969-01-13,Журналіст,село Рахів,"сквер Фахова, буд. 0 кв. 9, Путивль, 59889",+380 53 466-85-51,lytvynhordii@example.net
Шиян,Олег,Федорович,Чоловік,2001-04-10,Няня,селище Немирів,"вулиця Валерія Самофалова, буд. 3, Дружківка, 50221",+380 (58) 693-41-58,ihorvelychko@example.net
Андрощук,Болеслав,Григорович,Чоловік,1998-11-28,Етнограф,селище Сновськ,"вулиця Цебриківська, буд. 71, Ялта, 57302",+380 93 457-21-36,verhunihor@example.org
Матвієнко,Трохим,Іванович,Чоловік,1992-01-08,Золотар,місто Корсунь-Шевченківський,"набережна Кутова, буд. 0, Прилуки, 29164",519-90-95,hbhydenko@example.net
